stock,entry_date,exit_date,holding_days,exit_reason,invested,exit_value,pnl,return_pct
PTC India Limited ,2020-03-09,2021-03-04,360,holding_period,50000.0,93305.71466311226,43305.71466311226,0.8661142932622452
Surya Roshni Limited ,2020-03-09,2021-03-04,360,holding_period,50000.0,49243.3532503211,-756.6467496788973,-0.015132934993577929
Avanti Feeds Limited,2020-03-11,2021-03-08,362,holding_period,50000.0,69056.61395428612,19056.61395428612,0.38113227908572234
Bharat Electronics Limited,2020-03-11,2021-03-08,362,holding_period,50000.0,105527.2739711177,55527.2739711177,1.110545479422354
Canara Bank ,2020-03-11,2021-03-08,362,holding_period,50000.0,110546.0400317133,60546.0400317133,1.2109208006342662
Finolex Cables Limited ,2020-03-11,2021-03-08,362,holding_period,50000.0,69415.21069392438,19415.210693924382,0.38830421387848757
Aptech Limited ,2020-03-12,2021-03-08,361,holding_period,50000.0,50000.0,0.0,0.0
CyberTech Systems and Software Limited ,2020-03-12,2021-03-08,361,holding_period,50000.0,50000.0,0.0,0.0
Danlaw Technologies India Limited,2020-03-12,2021-03-08,361,holding_period,50000.0,50000.0,0.0,0.0
Dhanlaxmi Bank Limited,2020-03-12,2021-03-08,361,holding_period,50000.0,50000.0,0.0,0.0
GAIL (India) Limited ,2020-03-12,2021-03-08,361,holding_period,50000.0,96404.0018875949,46404.0018875949,0.9280800377518981
Grasim Industries Limited ,2020-03-12,2021-03-08,361,holding_period,50000.0,120071.39725334903,70071.39725334903,1.4014279450669807
Gujarat Alkalies and Chemicals Limited ,2020-03-12,2021-03-08,361,holding_period,50000.0,70716.55779592798,20716.557795927976,0.4143311559185596
Indian Oil Corporation Limited ,2020-03-12,2021-03-08,361,holding_period,50000.0,59075.75387911657,9075.753879116572,0.18151507758233154
Jyothy Labs Limited,2020-03-12,2021-03-08,361,holding_period,50000.0,65650.04014546944,15650.040145469437,0.3130008029093887
LMW Limited,2020-03-12,2021-03-08,361,holding_period,50000.0,123434.98600282593,73434.98600282593,1.4686997200565184
Mahindra & Mahindra Limited ,2020-03-12,2021-03-08,361,holding_period,50000.0,102415.85125234292,52415.85125234292,1.0483170250468583
Mukta Arts Limited ,2020-03-12,2021-03-08,361,holding_period,50000.0,50000.0,0.0,0.0
National Aluminium Company Limited ,2020-03-12,2021-03-08,361,holding_period,50000.0,111111.11662567472,61111.116625674724,1.2222223325134944
Oracle Financial Services Software Limited,2020-03-12,2021-03-08,361,holding_period,50000.0,73488.14871698969,23488.148716989686,0.46976297433979375
PCBL Chemical Limited ,2020-03-12,2021-03-08,361,holding_period,50000.0,132091.39768537288,82091.39768537288,1.6418279537074576
Rashtriya Chemicals and Fertilizers Limited ,2020-03-12,2021-03-08,361,holding_period,50000.0,143964.0989186977,93964.09891869771,1.879281978373954
Raymond Limited ,2020-03-12,2021-03-08,361,holding_period,50000.0,57313.18772140636,7313.187721406357,0.1462637544281271
Sagar Cements Limited,2020-03-12,2021-03-08,361,holding_period,50000.0,113072.79590186034,63072.79590186034,1.261455918037207
Summit Securities Limited,2020-03-12,2021-03-08,361,holding_period,50000.0,50000.0,0.0,0.0
Sun TV Network Limited ,2020-03-12,2021-03-08,361,holding_period,50000.0,69577.2682123852,19577.2682123852,0.39154536424770403
Union Bank of India ,2020-03-12,2021-03-08,361,holding_period,50000.0,122907.57615513337,72907.57615513337,1.4581515231026674
UGRO Capital Limited,2020-03-13,2021-03-08,360,holding_period,50000.0,56910.01452988608,6910.014529886081,0.13820029059772154
