
lookback_quarters,threshold,exit_method,exit_param,statistic,na_allowed_pct,initial_capital,max_positions,position_size_pct,initial_value,final_value,CAGR,max_drawdown,Sharpe,win_ratio,Calmar,num_trades,start_date,end_date
16,0.6,holding_period,7Y,mean,0.3,10000000,200,0.005,10000000.0,63206113.47349789,0.07985380257362507,-0.2650203805023263,0.793447839362296,0.5781990521327014,0.30131193088723274,211,2001-01-01,2025-01-01
16,0.6,sell_threshold,10pct,mean,0.3,10000000,200,0.005,10000000.0,64871303.08890573,0.08102447294397552,-0.18495315524610187,1.054197555705638,0.6044444444444445,0.4380810526652706,225,2001-01-01,2025-01-01
16,0.6,sell_threshold,20pct,mean,0.3,10000000,200,0.005,10000000.0,73767587.48306225,0.08682861864922731,-0.2082079922104886,1.051475327641622,0.5958549222797928,0.41702826931565434,193,2001-01-01,2025-01-01
16,0.6,sell_threshold,30pct,mean,0.3,10000000,200,0.005,10000000.0,77462849.59637216,0.08904433743074014,-0.23580530268632302,1.0258242995125626,0.5882352941176471,0.37761804512594116,170,2001-01-01,2025-01-01
16,0.6,sell_threshold,40pct,mean,0.3,10000000,200,0.005,10000000.0,79639772.29748175,0.09030269038786898,-0.22997934718226648,1.0319129439708477,0.6266666666666667,0.39265565144987136,150,2001-01-01,2025-01-01
16,0.6,sell_threshold,50pct,mean,0.3,10000000,200,0.005,10000000.0,83903624.70129795,0.09267463963396749,-0.25651948709965516,1.016252656850589,0.5984848484848485,0.36127719060175867,132,2001-01-01,2025-01-01
16,0.6,sell_threshold,60pct,mean,0.3,10000000,200,0.005,10000000.0,86868333.67903145,0.09425673618652852,-0.2640647055691979,1.0239513935129152,0.5934959349593496,0.35694560537106174,123,2001-01-01,2025-01-01
16,0.6,sell_threshold,70pct,mean,0.3,10000000,200,0.005,10000000.0,92360369.90830782,0.09705542483492602,-0.25390417658568654,1.0289727388931529,0.5862068965517241,0.38225217930659816,116,2001-01-01,2025-01-01
16,0.7,holding_period,1Q,mean,0.3,10000000,200,0.005,10000000.0,13605673.418523347,0.012911888427754814,-0.1302651312819755,0.5985615250255251,0.2982832618025751,0.09912006613500725,932,2001-01-01,2025-01-01
16,0.7,holding_period,2Q,mean,0.3,10000000,200,0.005,10000000.0,15146155.154912539,0.01744888469416428,-0.1446632197587783,0.6853054036699416,0.346483704974271,0.12061728422234612,583,2001-01-01,2025-01-01
16,0.7,holding_period,3Q,mean,0.3,10000000,200,0.005,10000000.0,17984076.89944467,0.02475569280286538,-0.1399151314761347,0.7110242665272627,0.3920335429769392,0.17693363499492515,477,2001-01-01,2025-01-01
16,0.6,sell_threshold,80pct,mean,0.3,10000000,200,0.005,10000000.0,96694550.61472733,0.0991536758652205,-0.26117437031537094,1.0326144591034638,0.5636363636363636,0.3796455055888192,110,2001-01-01,2025-01-01
16,0.7,holding_period,4Q,mean,0.3,10000000,200,0.005,10000000.0,19864032.855794776,0.029009717441758065,-0.13472622643961288,0.810694097728108,0.41927710843373495,0.21532346157383714,415,2001-01-01,2025-01-01
16,0.7,holding_period,2Y,mean,0.3,10000000,200,0.005,10000000.0,24280055.304571573,0.03765281754027017,-0.12610948866293006,0.783910421817859,0.48264984227129337,0.2985724384380779,317,2001-01-01,2025-01-01
16,0.7,holding_period,3Y,mean,0.3,10000000,200,0.005,10000000.0,21983234.851107642,0.03336516349898133,-0.20366768268783536,0.6054528871098294,0.5017301038062284,0.16382158945717784,289,2001-01-01,2025-01-01
16,0.7,holding_period,5Y,mean,0.3,10000000,200,0.005,10000000.0,34741166.52930646,0.05325901063877114,-0.20721352914347788,0.7292130143556846,0.5052083333333334,0.257024774680102,192,2001-01-01,2025-01-01
16,0.7,holding_period,7Y,mean,0.3,10000000,200,0.005,10000000.0,47054456.987213306,0.06665759959360695,-0.24875822971802058,0.7756645672090111,0.56,0.26796138430944194,150,2001-01-01,2025-01-01
16,0.7,sell_threshold,10pct,mean,0.3,10000000,200,0.005,10000000.0,56064799.5183391,0.07447280531428735,-0.18513780702803567,1.0488444167997568,0.541095890410959,0.40225606271230074,146,2001-01-01,2025-01-01
16,0.7,sell_threshold,20pct,mean,0.3,10000000,200,0.005,10000000.0,60962357.18167516,0.0782287464739877,-0.20583191920135785,1.0652992125020524,0.5259259259259259,0.38006129844934,135,2001-01-01,2025-01-01
16,0.7,sell_threshold,30pct,mean,0.3,10000000,200,0.005,10000000.0,66971396.64443281,0.08246049750020079,-0.237889506830349,1.0615126067282936,0.5158730158730159,0.3466336056554505,126,2001-01-01,2025-01-01
16,0.7,sell_threshold,40pct,mean,0.3,10000000,200,0.005,10000000.0,68975021.0048967,0.0837908831146128,-0.23835908399799435,1.0724141125313231,0.5172413793103449,0.35153215773944596,116,2001-01-01,2025-01-01
16,0.7,sell_threshold,50pct,mean,0.3,10000000,200,0.005,10000000.0,72694355.58111863,0.08616514484523718,-0.2598038224120143,1.057655680901228,0.5046728971962616,0.33165464636078656,107,2001-01-01,2025-01-01
16,0.7,sell_threshold,60pct,mean,0.3,10000000,200,0.005,10000000.0,75083467.41498388,0.08762958719946945,-0.25313992778571076,1.0647573859648387,0.5154639175257731,0.3461705467248536,97,2001-01-01,2025-01-01
16,0.7,sell_threshold,70pct,mean,0.3,10000000,200,0.005,10000000.0,78473223.89813882,0.08963253516330316,-0.2628668362925135,1.0763096075923253,0.5274725274725275,0.3409807658793507,91,2001-01-01,2025-01-01
16,0.8,holding_period,1Q,mean,0.3,10000000,200,0.005,10000000.0,12133108.044717398,0.008088907567043169,-0.06461830615575266,0.6231770478881786,0.2698072805139186,0.12517981433227418,467,2001-01-01,2025-01-01
16,0.7,sell_threshold,80pct,mean,0.3,10000000,200,0.005,10000000.0,80355802.29371239,0.09070938926144412,-0.2521639678491706,1.0733358310435912,0.5176470588235295,0.35972383380206424,85,2001-01-01,2025-01-01
16,0.8,holding_period,2Q,mean,0.3,10000000,200,0.005,10000000.0,12839661.514135113,0.010469165669916514,-0.07187017543578296,0.6675466924486949,0.30272108843537415,0.14566773500185573,294,2001-01-01,2025-01-01
16,0.8,holding_period,3Q,mean,0.3,10000000,200,0.005,10000000.0,14401307.160496542,0.015313310530714608,-0.07300177179497522,0.7525705721626643,0.36637931034482757,0.20976628586114177,232,2001-01-01,2025-01-01
16,0.8,holding_period,4Q,mean,0.3,10000000,200,0.005,10000000.0,16127914.879758487,0.020114903775659387,-0.07048418479846186,0.8551918885211227,0.3875598086124402,0.2853818034949926,209,2001-01-01,2025-01-01
