date,equity
2022-05-17,11645715.643509489
2022-05-18,11646679.268390797
2022-05-19,11646121.653548896
2022-05-20,11647396.795088327
2022-05-23,11648515.13986181
2022-05-24,11647058.28030864
2022-05-25,11646830.8731049
2022-05-26,11646446.669311995
2022-05-27,11647493.365254994
2022-05-30,11647874.453869829
2022-05-31,11647963.755376052
2022-06-01,11647033.358972454
2022-06-02,11646542.201085974
2022-06-03,11646690.690622006
2022-06-06,11646452.899579749
2022-06-07,11645021.999843843
2022-06-08,11644719.82863155
2022-06-09,11644733.327736527
2022-06-10,11644779.016838135
2022-06-13,11644716.713453477
2022-06-14,11644178.828072699
2022-06-15,11643671.055903168
2022-06-16,11643674.17108124
2022-06-17,11642921.339209009
2022-06-20,11644695.945688054
2022-06-21,11644884.93245063
2022-06-22,11644840.281741712
2022-06-23,11645873.478668123
2022-06-24,11646938.865591167
2022-06-27,11647286.72581668
2022-06-28,11647224.42252041
2022-06-29,11645475.775681851
2022-06-30,11645416.587563654
2022-07-01,11646491.320020912
2022-07-04,11648419.608087832
2022-07-05,11648965.800610136
2022-07-06,11650978.198131436
2022-07-07,11650449.658196483
2022-07-08,11650946.008046417
2022-07-11,11650816.209490428
2022-07-12,11649963.692273457
2022-07-13,11650964.69902646
2022-07-14,11650965.737419149
2022-07-15,11652434.019291917
2022-07-18,11652122.502633797
2022-07-19,11652422.59697232
2022-07-20,11653181.659200694
2022-07-21,11653242.924192661
2022-07-22,11653931.375983242
2022-07-25,11653578.323705887
2022-07-26,11651989.588811345
2022-07-27,11652713.345865019
2022-07-28,11653505.636571102
2022-07-29,11653864.919027822
2022-08-01,11652942.829765748
2022-08-02,11653820.268318905
2022-08-03,11653635.435127093
2022-08-04,11653668.663604802
2022-08-05,11654031.061239595
2022-08-08,11654133.861762406
2022-08-09,11654055.463423628
2022-08-10,11653977.06508485
2022-08-11,11653372.722748652
2022-08-12,11652983.326992292
2022-08-15,11653497.848625923
2022-08-16,11654012.370259553
2022-08-17,11654846.196496483
2022-08-18,11654792.20025335
2022-08-19,11653805.730909625
2022-08-22,11653642.703875925
2022-08-23,11652937.637802295
2022-08-24,11652844.182813698
2022-08-25,11652552.395616699
2022-08-26,11652497.360980876
2022-08-29,11652585.62400602
2022-08-30,11654331.155666508
2022-08-31,11653771.983279765
2022-09-01,11653212.810893023
2022-09-02,11653162.968220653
2022-09-05,11653100.664924385
2022-09-06,11652529.551065896
2022-09-07,11652353.024927218
2022-09-08,11652613.660520278
2022-09-09,11652853.528347913
2022-09-12,11652681.155779999
2022-09-13,11652809.916031687
2022-09-14,11652494.245802805
2022-09-15,11652265.800294764
2022-09-16,11651596.039484225
2022-09-19,11652657.272836505
2022-09-20,11652746.57425434
2022-09-21,11653578.323705887
2022-09-22,11655014.415493635
2022-09-23,11654792.20025335
2022-09-26,11654345.693075787
2022-09-27,11654734.050527843
2022-09-28,11655208.594219664
2022-09-29,11655176.404134644
2022-09-30,11655091.256287573
2022-10-03,11653555.479155084
2022-10-04,11654499.37466366
2022-10-05,11653939.163884228
2022-10-06,11653378.953104794
2022-10-07,11653081.973855954
2022-10-10,11653204.503751498
2022-10-11,11652063.31442721
2022-10-12,11652908.562983736
2022-10-13,11652390.4068873
2022-10-14,11652585.62400602
2022-10-17,11652891.948700687
2022-10-18,11653134.931706395
2022-10-19,11652735.152023131
2022-10-20,11653106.895192139
2022-10-21,11654207.58737827
2022-10-24,11652529.551065896
2022-10-25,11651123.572577786
2022-10-26,11651264.793453371
2022-10-27,11651406.014328958
2022-10-28,11651515.045119526
2022-10-31,11652064.352819901
2022-11-01,11652087.197370706
2022-11-02,11651391.476919679
2022-11-03,11651974.013009375
2022-11-04,11651434.050843215
2022-11-07,11651692.609650893
2022-11-08,11651443.396333236
2022-11-09,11651194.18301558
2022-11-10,11651293.86836032
2022-11-11,11651074.768298106
2022-11-14,11650135.026360292
2022-11-15,11650128.796092536
2022-11-16,11650551.420326605
2022-11-17,11650180.715461899
2022-11-18,11650672.91182946
2022-11-21,11651040.501427704
2022-11-22,11651337.480676547
2022-11-23,11651164.069715941
2022-11-24,11652032.162823271
2022-11-25,11651789.179817563
2022-11-28,11651534.774492258
2022-11-29,11653798.462160792
2022-11-30,11654839.96614034
2022-12-01,11654393.458962776
2022-12-02,11653401.7976556
2022-12-05,11653500.444607649
2022-12-06,11654221.086394861
2022-12-07,11655317.625010232
2022-12-08,11655278.166264767
2022-12-09,11655627.06488297
2022-12-12,11655523.226055857
2022-12-13,11655378.890002199
2022-12-14,11654846.196496483
2022-12-15,11654401.7661043
2022-12-16,11654568.946708763
2022-12-19,11655540.878643207
2022-12-20,11654636.441968484
2022-12-21,11654463.031007878
2022-12-22,11654030.022846904
2022-12-23,11653526.404336525
2022-12-26,11653450.601935279
2022-12-27,11652948.021729201
2022-12-28,11652747.612647029
2022-12-29,11652424.673757702
2022-12-30,11652279.299311353
2023-01-02,11652224.26467553
2023-01-03,11651884.711591542
2023-01-04,11651761.143303305
2023-01-05,11652749.68943241
2023-01-06,11652599.123110998
2023-01-09,11653587.669240102
2023-01-10,11653998.871242965
2023-01-11,11652948.021729201
2023-01-12,11652881.564862171
2023-01-13,11653586.630847413
2023-01-16,11653027.97770121
2023-01-17,11654491.067522135
2023-01-18,11654878.386581501
2023-01-19,11654121.401138509
2023-01-20,11652023.855681745
2023-01-23,11653013.440203542
2023-01-24,11653098.588139003
2023-01-25,11653552.364065401
2023-01-26,11653446.448408712
2023-01-27,11653340.53275202
2023-01-30,11652426.750543082
2023-01-31,11652605.353378752
2023-02-01,11652553.43400939
2023-02-02,11653811.961265769
2023-02-03,11654100.633373085
2023-02-06,11653869.072598586
2023-02-07,11653113.125548283
2023-02-08,11652730.99845237
2023-02-09,11652811.992817068
2023-02-10,11652620.92926911
2023-02-13,11652693.616492286
2023-02-14,11652664.541585337
2023-02-15,11652017.625325603
2023-02-16,11651574.233326111
2023-02-17,11651333.327105783
2023-02-20,11651249.217563013
2023-02-21,11651346.826122373
2023-02-22,11650887.85832091
2023-02-23,11650817.247883119
2023-02-24,11650683.295667976
2023-02-27,11650349.972851742
